epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.961,2.3082,2.26131,2.01032,0.7333,0.65104,0.72794,0.30486,2.03652,1.31736,1.74981,0.00332051,0.00332051,0.00332051
2,121.61,2.08442,1.80795,1.7957,0.74226,0.64114,0.7115,0.30082,2.03916,1.35232,1.68002,0.00665253,0.00665253,0.00665253
3,248.878,2.06648,1.78106,1.82642,0.76805,0.59954,0.69383,0.2706,1.97322,1.78528,1.71874,0.00998322,0.00998322,0.00998322
4,381.996,2.08529,1.98425,1.80148,0.30349,0.52167,0.34629,0.12406,2.02669,1.75309,1.78586,0.00999406,0.00999406,0.00999406
5,524.114,2.08372,1.82135,1.78047,0.66005,0.63628,0.69272,0.30006,1.95683,1.35202,1.67579,0.00999208,0.00999208,0.00999208
6,669.415,2.04041,1.62081,1.79356,0.72693,0.66629,0.72131,0.29714,1.95319,1.37843,1.69608,0.0099901,0.0099901,0.0099901
7,813.219,2.01584,1.60856,1.70996,0.75291,0.66918,0.75283,0.32663,1.96241,1.24644,1.64619,0.00998812,0.00998812,0.00998812
8,957.208,2.04903,1.66074,1.81355,0.73073,0.5862,0.66528,0.27164,2.02719,1.50178,1.81256,0.00998614,0.00998614,0.00998614
9,1101.09,2.02793,1.5844,1.77844,0.75608,0.62857,0.72835,0.31684,1.99053,1.31913,1.73334,0.00998416,0.00998416,0.00998416
10,1244.96,2.02057,1.56111,1.77789,0.76492,0.64449,0.73982,0.32081,1.99243,1.35617,1.74031,0.00998218,0.00998218,0.00998218
11,1389,2.00403,1.55483,1.79939,0.73107,0.62441,0.70564,0.28796,2.01589,1.38972,1.78171,0.0099802,0.0099802,0.0099802
12,1532.79,2.00464,1.54738,1.78585,0.7711,0.66003,0.75423,0.32408,1.9662,1.28575,1.7337,0.00997822,0.00997822,0.00997822
13,1676.7,1.98511,1.50526,1.785,0.76606,0.65714,0.75091,0.31373,1.98355,1.31931,1.73648,0.00997624,0.00997624,0.00997624
14,1820.46,2.00402,1.57783,1.80562,0.73494,0.65136,0.73281,0.31148,1.93935,1.40267,1.72599,0.00997426,0.00997426,0.00997426
15,1964.29,1.96396,1.60601,1.76733,0.77239,0.66693,0.76106,0.33714,1.92669,1.23378,1.7098,0.00997228,0.00997228,0.00997228
16,2108.08,1.94369,1.48145,1.7683,0.74737,0.65169,0.74461,0.33591,1.93392,1.25914,1.72791,0.0099703,0.0099703,0.0099703
