epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.983,2.20971,1.64279,1.3907,0.7876,0.48185,0.57637,0.329,1.63899,1.16671,1.14137,0.00331871,0.00331871,0.00331871
2,389.273,1.87596,1.2695,1.1771,0.80284,0.44851,0.56152,0.30124,1.73292,1.22376,1.14272,0.00665073,0.00665073,0.00665073
3,583.752,1.8915,1.25198,1.16424,0.8122,0.41288,0.55318,0.30741,1.62013,1.37941,1.09201,0.00998143,0.00998143,0.00998143
4,778.447,1.81808,1.29284,1.13392,0.77866,0.50801,0.5956,0.33718,1.59759,1.01028,1.08931,0.00999406,0.00999406,0.00999406
5,973.952,1.77183,1.15238,1.11819,0.76663,0.48755,0.5803,0.33937,1.51561,0.98737,1.06225,0.00999208,0.00999208,0.00999208
6,1169.96,1.71869,1.11846,1.10257,0.77264,0.50482,0.5951,0.34787,1.48987,0.97866,1.05266,0.0099901,0.0099901,0.0099901
7,1366.15,1.68606,1.08152,1.09605,0.77118,0.49314,0.59189,0.33468,1.55754,0.95637,1.05258,0.00998812,0.00998812,0.00998812
8,1562.8,1.65032,1.0524,1.08192,0.77104,0.50546,0.59397,0.36918,1.41651,0.94843,1.03045,0.00998614,0.00998614,0.00998614
9,1759.96,1.57877,1.02899,1.06717,0.79391,0.51697,0.60812,0.37074,1.41255,0.88351,1.0299,0.00998416,0.00998416,0.00998416
10,1956.65,1.58315,1.01907,1.06547,0.78842,0.51565,0.60768,0.38657,1.3356,0.88319,1.01469,0.00998218,0.00998218,0.00998218
11,2152.78,1.55371,1.02182,1.06536,0.78193,0.52433,0.61235,0.39125,1.31994,0.87364,1.01494,0.0099802,0.0099802,0.0099802
12,2349.16,1.59197,1.00363,1.06653,0.79653,0.51546,0.60974,0.36394,1.42822,0.88685,1.03008,0.00997822,0.00997822,0.00997822
13,2544.83,1.54126,0.98702,1.05382,0.79383,0.51587,0.61947,0.40425,1.27346,0.84886,1.00604,0.00997624,0.00997624,0.00997624
14,2740.3,1.50722,0.95646,1.04541,0.79943,0.52588,0.61126,0.35985,1.43484,0.88585,1.02569,0.00997426,0.00997426,0.00997426
15,2935.38,1.49312,0.96647,1.0473,0.79162,0.52743,0.62098,0.4019,1.30178,0.84568,1.00751,0.00997228,0.00997228,0.00997228
16,3130.59,1.46587,0.94377,1.03344,0.78846,0.53006,0.62124,0.4028,1.31892,0.83778,1.0084,0.0099703,0.0099703,0.0099703
17,3326.05,1.46965,0.948,1.04741,0.78153,0.53987,0.62873,0.39948,1.30976,0.81508,0.99644,0.00996832,0.00996832,0.00996832
18,3522.27,1.49131,0.97103,1.03986,0.8018,0.53197,0.62951,0.41562,1.25763,0.81869,0.9922,0.00996634,0.00996634,0.00996634
19,3718.82,1.4599,0.95251,1.03624,0.79945,0.52324,0.6232,0.41032,1.27442,0.85326,0.99444,0.00996436,0.00996436,0.00996436
20,3915.52,1.47617,0.94796,1.03472,0.78912,0.53886,0.6323,0.40904,1.28851,0.81933,0.99001,0.00996238,0.00996238,0.00996238
21,4112.06,1.42411,0.91273,1.02503,0.79402,0.53434,0.63193,0.42468,1.20322,0.8011,0.9783,0.0099604,0.0099604,0.0099604
