epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5992.78,1.53519,2.15065,1.63165,0.67822,0.5348,0.56489,0.27923,1.6318,1.39979,1.77532,0.00333311,0.00333311,0.00333311
2,12060.2,1.51267,1.89145,1.63768,0.64907,0.50094,0.52674,0.24196,1.73438,1.59243,1.88831,0.00666513,0.00666513,0.00666513
3,18026.8,1.61815,2.12016,1.73583,0.561,0.44715,0.46013,0.20484,1.86159,1.83628,2.02631,0.00999582,0.00999582,0.00999582
4,24034.5,1.65501,2.18938,1.78178,0.48272,0.32946,0.32767,0.14243,1.91774,1.94285,2.03488,0.00999406,0.00999406,0.00999406
5,30052.8,1.58282,2.09587,1.72721,0.58087,0.38246,0.40358,0.17699,1.86636,1.92594,1.99628,0.00999208,0.00999208,0.00999208
6,36044.7,1.51841,1.98095,1.68079,0.53122,0.35826,0.35962,0.15271,1.90068,1.9339,2.06994,0.0099901,0.0099901,0.0099901
7,41986.1,1.48992,1.93907,1.65759,0.62586,0.4546,0.49578,0.22914,1.73711,1.71468,1.87464,0.00998812,0.00998812,0.00998812
8,47916.1,1.46047,1.87312,1.63042,0.638,0.48277,0.51492,0.25067,1.70501,1.62531,1.86017,0.00998614,0.00998614,0.00998614
9,53841.5,1.43439,1.84162,1.61717,0.63623,0.46604,0.51287,0.25235,1.67353,1.52705,1.84438,0.00998416,0.00998416,0.00998416
10,59770.9,1.41989,1.79349,1.60452,0.67519,0.52486,0.57412,0.28591,1.61299,1.51437,1.77718,0.00998218,0.00998218,0.00998218
11,6821.95,1.39095,1.75517,1.5788,0.66533,0.48321,0.53927,0.26707,1.63164,1.46881,1.80481,0.0099802,0.0099802,0.0099802
12,13536,1.3803,1.72288,1.57236,0.67445,0.51266,0.55384,0.27888,1.63929,1.43946,1.74848,0.00997822,0.00997822,0.00997822
13,20210.1,1.36619,1.70322,1.5579,0.64047,0.45422,0.49841,0.26479,1.57088,1.44174,1.73845,0.00997624,0.00997624,0.00997624
14,26891.3,1.34315,1.64762,1.54201,0.68386,0.53347,0.58277,0.29848,1.56483,1.41768,1.72609,0.00997426,0.00997426,0.00997426
15,33514.6,1.33263,1.65426,1.52864,0.70718,0.53386,0.58458,0.31063,1.53837,1.37683,1.6948,0.00997228,0.00997228,0.00997228
